Brand,Description,Processor,RAM,Screen,Hard Drive Disc,State Solid Disc,Price
HP,Portátil hp 1x5v7lt 14 puLGadas amd ryzen r3 4gb 1, AMD RYZEN R3, 4GB, 14 pulgadas, 1TB, No aplica,1.499.000
LENOVO,Portátil lenovo v145 14ast amd a6 9225 8 gigas 14¿, AMD A6, 8GB, 14 pulgadas, 500GB, No aplica,1.460.000
LENOVO,Portátil Lenovo Ideapad 14 Pulgadas 3 Amd Athlon 4, AMD, 4GB, 14.1 pulgadas, 256GB, No aplica,1.229.900
DELL,Portatil dell vostro 14 3405 amd ryzen 5, AMD RYZEN R5, 8GB, 14 pulgadas, No aplica, 256GB,2.219.888
ACER,Portátil Acer Porsche Design 14 Pulgadas Intel Core i5 8GB 512GB, Intel Core i5, 8GB, 14 pulgadas, No aplica, 512GB,3.449.000
ASUS,"Portátil asus zenbook um425ia 14"" amd ryzen 5", AMD RYZEN R5, 8GB, 14 pulgadas, No aplica, 512GB,4.699.900
DELL,"Portátil Dell 3501 15.6"" Intel Core I3 4gb 1tb Hdd", Intel Core i3, 4GB, 15.6 pulgadas, 1TB, No aplica,1.699.888
DELL,"Portatil Dell 3405 Amd Ryzen5 8gb 256ssd, 15,6,W10", AMD RYZEN R5, 8GB, 15.6 pulgadas, No aplica, 256GB,2.418.000
TOSHIBA,Portátil toshiba tecra a40-g celeron 4gb 128gb, Intel Celeron, 4GB, 14 pulgadas, No aplica, 128GB,1.067.000
APPLE,MacBook Pro Chip M1 Pro 512GB SSD Gris espacial MK183E/A 16.2 Pulgadas, Chip M1 Pro, 16GB, 16.2 pulgadas, No aplica, 512GB,13.528.900
DELL,"Portátil Dell latitud 3420 intel ci5-1135, 8gb ram", Intel Core i5, 8GB, 14 pulgadas, No aplica, 256GB,3.799.000
HP,Portátil Hp Cf2089la 14 Pulgadas Intel Celeron 4gb, Intel Celeron, 4GB, 14 pulgadas, No aplica, 256GB,1.159.900
LENOVO,Portátil Lenovo 82c401jhus 14 Pulgadas Intel Core, Intel Core i5, 8GB, 14 pulgadas, No aplica, 256GB,3.331.900
LENOVO,Portátil lenovo c i3 8gb 1tb 256ssd w10p educ., Intel Core i3, 8GB, 14 pulgadas, 1TB, 256GB,2.499.900
HP,Portátil HP Laptop 14-cf3026la 14 pulgadas Intel Core i5 8GB 256GB, Intel Core i5, 8GB, 14 pulgadas, No aplica, 256GB,2.849.000
LENOVO,Portátil Lenovo 14 Pulgadas Amd 4gb 256gb Hdd, AMD, 4GB, 14 pulgadas, 256GB, No aplica,1.398.900
ASUS,"Portatil asus expertbook b2451fa 14"" core i5 8gb", Intel Core i5, 8GB, 14 pulgadas, 1TB, No aplica,3.949.900
LENOVO,Portátil Lenovo IdeaPad 3 Ryzen 3 4Gb 128Gb, AMD RYZEN R3, 4GB, 15.6 pulgadas, 128 GB, No aplica,2.699.900
ASUS,Portatil asus m415da ryzen 5 4gb 256gb win10home, AMD RYZEN R5, 4GB, 14 pulgadas, No aplica, 256GB,2.399.900
ASUS,"Portátil Asus M415d Ryzen 3, 4gb, 256ssd , 14""", AMD RYZEN R3, 4GB, 14 pulgadas, No aplica, 256GB,1.645.500
LUMI,Portatil coin lumi 142g celeron 500gb 4gb win10, Intel Celeron, 4GB, 14 pulgadas, 500GB, No aplica,943.500
ASUS,"Portatil asus m415da ryzen 5 14"" 1 tb 4 gb endles", AMD RYZEN R5, 4GB, 14 pulgadas, 1TB, No aplica,1.949.000
HP,Portátil Hp 15-Gw0017la 15 Pulgadas Amd Ryzen R3 4, AMD RYZEN R3, 4GB, 15 pulgadas, No aplica, 256GB,1.659.900
LENOVO,Portátil lenovo ideapad 3 amd athlon 4gb 256gb, AMD, 4GB, 14 pulgadas, No aplica, 256GB,1.198.900
ASUS,Portatil asus x415ma-ek129t, Intel Celeron, 4GB, 14 pulgadas, 1TB, No aplica,1.275.000
DELL,Portátil Dell 15-3501 intel core i3 4gb 1tb linux, Intel, 4GB, 15.6 pulgadas, 1TB, No aplica,1.679.900
TOSHIBA,Portátil Toshiba tecra a40-g 14 pulgadas intel cel, Intel Celeron, 4GB, 14 pulgadas, No aplica, 128GB,1.289.888
LENOVO,Portátil ideapad Lenovo s145-14api amd r3, 2.6GHz 2C MB, 4GB, 14 pulgadas,NA, 512GB,2.007.900
HP,Portatil hp 245 g7 amd 3020e 8gb 1tb linux, AMD, 8GB, 14 pulgadas, 1TB, No aplica,1.209.900
ASUS,"Portatil asus x543ma 15,6 fhd celeron", Intel Celeron, 4GB, 15.6 pulgadas, No aplica, 128GB,1.059.888
APPLE,MacBook Pro Chip M1 Pro 1TB SSD Plata MK1F3E/A 16.2 Pulgadas, Chip M1 Pro, 16GB, 16.2 pulgadas, No aplica, 1TB,14.577.900
HP,Portátil hp 240 g7 core i3-1005g1 4gb 1tb linux, Intel Core i3, 4GB, 14 pulgadas, 1TB, No aplica,1.499.900
ASUS,Portatil asus x415ma-bv041t, Dual Core, 4GB, 14 pulgadas, 1TB,NA,1.289.000
HP,Portátil hp pavilion x360 14-dy0001la 4gb 128ssd, Dual Core, 4GB, 14 pulgadas,NA, 128GB,1.799.000
GENERICO,Portátil gateway intel core i5 256gb ssd 16gb win, Intel Core i5, 16GB, 14 pulgadas, No aplica, 256GB,3.299.900
LENOVO,Portatil lenovo3 amd 3050u ram8gb 256gbssd win10, AMD, 8GB, 14 pulgadas, No aplica, 256GB,1.665.000
HP,Portatil Hp 245 G8 Amd Ryzen3 8gb 256gb Ssd 14pulg, AMD RYZEN R3, 8GB, 14 pulgadas, No aplica, 256GB,1.620.600
MSI,"Portatil gaming msi thin 10scsr, 8gb, 512ssd", Intel Core i7, 16GB, 17.3 pulgadas, No aplica, 512GB,6.105.000
HP,Portátil hp 3020 14 pulgadas amd 8gb 1tb, AMD, 8GB, 14 pulgadas, 1TB, No aplica,1.599.900
HP,Portátil hp 14-dk1018la 14 puLGadas 4gb 1tb hdd, AMD, 4GB, 14 pulgadas, 1TB, No aplica,1.045.500
HP,Portátil hp 14-ck2101la 14 puLGadas intel celeron, Intel Celeron, 4GB, 14 pulgadas, 1TB, No aplica,1.219.900
ACER,Portatil Acer A514-53 I34256, Intel Core i3, 4GB, 14 pulgadas, 256GB, No aplica,2.254.931
ASUS,"Portatil asus x415ja core i3 14"" 1tb 4gb endless", Intel Core i3, 4GB, 14 pulgadas, 1TB, No aplica,1.542.900
HP,Portátil hp 14-dk amd athlon silver 4gb 256gb ssd, AMD, 4GB, 14 pulgadas, No aplica, 256GB,1.089.900
LENOVO,Portátil Lenovo thinkpad e495 ryzen 3, AMD RYZEN R3, 4GB, 14 pulgadas, 1TB, No aplica,1.610.900
APPLE,MacBook Pro Chip M1 Pro 1TB SSD Gris espacial MKGQ3E/A 14.2 Pulgadas, Chip M1 Pro, 16GB, 14.2 pulgadas, No aplica, 1TB,13.528.900
HP,"Portátil hp amd 3020 8gb 1tb + ssd 240gb 14"" linux", AMD, 8GB, 14 pulgadas, 1TB, 120GB,1.689.000
HP,"Portátil hp 14-dk amd athlon silver 4gb 1tb 14""", AMD, 4GB, 14 pulgadas, 1TB, No aplica,1.028.900
TOSHIBA,Portátil dynabook celeron 4gb 128gb w10 fhd 13.3'', Intel Celeron, 4GB, 13.3 pulgadas, No aplica, 128GB,1.079.900
HP,"Portátil hp 240 g7 14"" intel core i3 8gb 1tb linux", Intel Core i3, 8GB, 14 pulgadas, 1TB, No aplica,1.679.900
DELL,Portatil Dell 3501 15.6 intel core i3-1005g1 4gb 1, Intel Core i3, 4GB, 15.6 pulgadas, 1TB, No aplica,1.719.888
HP,Portátil Hp 245 G8 Amd Ryzen 3 8gb 256gb Ssd Linux, AMD RYZEN R3, 8GB, 14 pulgadas, No aplica, 256GB,1.639.900
LENOVO,Portátil lenovo s145 intel core i3 1005g 4gb 1tb, Intel Core i3, 4GB, 14 pulgadas, 1TB, No aplica,1.599.900
DELL,Portátil dell 15.6 pulgadas intel core i3 4gb 1tb, Dual Core, 4GB, 15.6 pulgadas, 1TB,NA,1.539.000
TOSHIBA,"Portátil toshiba 14"" intel celeron 4gb 128gb", No aplica, 4GB, 14 pulgadas,NA, 128GB,1.099.900
HP,Portatil hp 245 g7 3250u ryzen 3 4gb 1tb, AMD RYZEN R3, 4GB, 14 pulgadas, 1TB, No aplica,1.459.900
LENOVO,"Portatil Lenovo thinkpad e14 intel ci5 -1135, 8gb", Quad Core, 8GB, 14 pulgadas,NA, 256GB,4.239.900
APPLE,MacBook Pro Chip M1 Pro 512GB SSD Plata MK1E3E/A 16.2 Pulgadas, Chip M1 Pro, 16GB, 16.2 pulgadas, No aplica, 512GB,13.528.900
GENERICO,Portátil gateway intel core i5 256gb ssd 16gb win, Intel Core i5, 16GB, 15 pulgadas, No aplica, 256GB,3.299.900
LENOVO,Portatil lenovo s145 amd a9 ram8gb 1tb radeon 530, AMD A9, 8GB, 14 pulgadas, 1TB, No aplica,1.709.400
ASUS,"Portátil Asus expertbook intel ci3-10110u, 8gb ram", Intel Core i3, 4GB, 14 pulgadas, 1TB, No aplica,1.815.900
DELL,"Portátil Dell Inspiron 3501 Core I3 4gb 1tb 15.6""", Intel Core i3, 4GB, 15.6 pulgadas, 1TB, No aplica,1.530.000
LENOVO,Portatil lenovo 3 14are05 amd ryzen3 4gb 256gbssd, AMD RYZEN R3, 4GB, 14 pulgadas, 1TB, No aplica,1.653.900
HP,"Portatil hp 245 g7 ryzen3 4gb dd1tb 14"" freedos", AMD RYZEN R3, 4GB, 14 pulgadas, 1TB, No aplica,1.431.900
MSI,"Portátil msi 15 a10ras, intel ci7, 8gb, 512 ssd", Intel Core i7, 8GB, 15.6 pulgadas, No aplica, 512GB,5.228.000
ASUS,Portatil Asus M415da Amd Ryzen3 256gb Ssd Endless, AMD RYZEN R3, 4GB, 14 pulgadas, No aplica, 256GB,1.709.400
HP,Portátil hp 14 pulgadas intel celeron 4gb 1tb, Intel Celeron, 4GB, 14 pulgadas, 1TB, No aplica,1.069.900
HP,Portátil HP Pavilion 14 Pulgadas Intel Core i5 8GB 512GB, Intel Core i5, 8GB, 14 pulgadas, No aplica, 512GB,3.249.000
LENOVO,Portátil lenovo intel core i3 4gb 1tb + mouse, Intel Core i3, 4GB, 14 pulgadas, 1TB, No aplica,1.619.900
HP,Portátil hp 15-dy intel core i3 4gb 256gb ssd w10, Intel Core i3, 4GB, 15 pulgadas, No aplica, 256GB,1.639.900
LENOVO,Portátil Lenovo 82gks00f00 14 Pulgadas Intel Core, Intel Core i5, 8GB, 14 pulgadas, No aplica, 256GB,10.000.000
ASUS,"Portatil asus celeron x409m 4gb, 1tb, linux", Intel Celeron, 4GB, 14 pulgadas, 1TB, No aplica,1.120.000
DELL,Portátil dell gaming g5 15 5505 ryzen 5., 3, 8GB, 15.6 pulgadas,NA, 512GB,4.999.900
LENOVO,Portátil Lenovo IdeaPad S145 14 pulgadas Intel Core i3 4GB 1TB, Intel Core i3, 4GB, 14 pulgadas, 1TB, No aplica,1.499.000
HP,Portátil HP 15-gw0017la amd ryzen 3 4gb 256gb ssd, AMD RYZEN R3, 4GB, 15.6 pulgadas, No aplica, 256GB,1.639.900
HP,Portátil Hp 15-Dw2032l Core I5 4gb 1tb Windows 10, Intel Core i5, 4GB, 15.6 pulgadas, 1TB, No aplica,2.349.900
GENERICO,Portátil gateway amd ryzen 5 256gb ssd 8gb windows, AMD RYZEN R5, 8GB, 15 pulgadas, No aplica, 256GB,2.999.900
APPLE,MacBook Pro Chip M1 Pro 1TB SSD Plata MKGT3E/A 14.2 Pulgadas, Chip M1 Pro, 16GB, 14.2 pulgadas, No aplica, 1TB,13.528.900
DELL,Portatil Dell vostro ryzen 5-3450 4gb ram ssd 256g, AMD RYZEN R5, 4GB, 14 pulgadas, No aplica, 256GB,2.299.000
HP,Portatil hp 14-ck2101la, Intel Celeron, 4GB, 14 pulgadas, 1TB, No aplica,1.286.000
ASUS,Portatil Asus X415ea Corei3-1115g4 256ssd 4gb, Intel Core i3, 4GB, 14 pulgadas, No aplica, 256GB,1.699.000
LENOVO,Portátil Lenovo Ideapad S145 14 Pulgadas Intel Cor, Intel Core i3, 4GB, 14.1 pulgadas, 1TB, No aplica,1.595.900
LENOVO,Portatil lenovo 3 15iil05 core i3 4gb 1tb win10., Intel Core i3, 4GB, 15.6 pulgadas, 1TB, No aplica,1.776.000
LENOVO,Portátil lenovo tb 14 core i3 8gb 1tb win10pro edu, Intel Core i3, 8GB, 14 pulgadas, 1TB, No aplica,2.999.900
HP,Portatil hp 240 g7 celeron n4020 4gb 1tb linux, Intel Celeron, 4GB, 14 pulgadas, 1TB, No aplica,1.132.200
ASUS,Portátil Asus R3 4gb Ram 256gb Ssd Sistema Endless, AMD RYZEN R3, 4GB, 14 pulgadas, No aplica, 256GB,1.705.990
LENOVO,Lenovo portátil s145 core i3 4gb 1tb free dos, Intel Core i3, 4GB, 14 pulgadas, 1TB, No aplica,1.909.900
JANUS,"Computador janus core i7-9700 linux ram 8gb 22""", Intel Core i7, 8GB, 22 pulgadas, No aplica, 256GB,2.997.000
LENOVO,Portátil lenovo s145 intel core i3 1005g 4gb 1tb, Intel Core i3, 4GB, 14 pulgadas, 1TB, No aplica,1.560.000
LENOVO,Portátil Lenovo Idea 14itl6 Core I3 11va 4gb 1tb, Intel Core i3, 4GB, 14 pulgadas, 1TB, No aplica,1.680.000
ASUS,"Portatil asus x415ma-bv041t/cel/4gb/1tb/win 10/14""", Dual Core, 4GB, 14 pulgadas, 1TB,NA,1.269.900
HP,Portátil hp 245 g7 amd 3020e 8gb 1tb linux, AMD, 8GB, 14 pulgadas, 1TB, No aplica,1.399.900
ACER,Portatil acer a514-53 core i3 4gb 256gbssd win10, Intel Core i3, 4GB, 14 pulgadas, No aplica, 256GB,1.720.500
HP,"Portátil hp 245 ryzen 3, 1tb dd, ram 8gb, win 10h", AMD RYZEN R3, 4GB, 14 pulgadas, 1TB, No aplica,1.640.000
LENOVO,Portatil Lenovo V14 Ada Amd 3150u 14 Pulg 4gb 1tb, AMD, 4GB, 14 pulgadas, 1TB, No aplica,1.119.900
LENOVO,Portatil Lenovo 14´ Core I3 4gb Ram 1 Tb Freedos, Intel Core i3, 4GB, 14 pulgadas, 1TB, No aplica,1.579.900
DELL,Portátil dell 3493 i3 1005g1 ram 4g ssd 128gb14'', Intel Core i3, 4GB, 14 pulgadas, No aplica, 128GB,1.759.900
GENERICO,Portátil gateway intel core i5 256gb ssd 16gb win, Intel Core i5, 16GB, 14 pulgadas, No aplica, 256GB,3.299.900
